Date,Code,Description,Unit of Measure,Value
1977/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,655.9
1977/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,659.0
1977/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,676.3
1977/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,676.4
1977/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,675.8
1977/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,679.7
1977/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,674.6
1977/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,684.6
1977/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,684.6
1977/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,671.1
1977/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,680.0
1977/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,671.4
1978/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,675.4
1978/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,687.6
1978/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,689.1
1978/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,709.2
1978/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,684.8
1978/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,663.0
1978/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,682.9
1978/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,677.6
1978/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,677.8
1978/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,676.5
1978/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,673.4
1978/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,682.7
1979/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,687.8
1979/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,700.1
1979/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,681.9
1979/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,682.3
1979/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,700.5
1979/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,672.0
1979/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,672.4
1979/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,670.1
1979/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,656.2
1979/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,678.8
1979/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,682.1
1979/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,684.7
1980/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,655.2
1980/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,653.1
1980/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,640.0
1980/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,636.1
1980/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,653.5
1980/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,626.9
1980/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,659.3
1980/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,634.1
1980/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,635.1
1980/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,637.6
1980/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,629.6
1980/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,637.5
1981/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,626.9
1981/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,625.0
1981/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,631.6
1981/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,632.6
1981/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,623.0
1981/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,624.0
1981/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,625.8
1981/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,628.1
1981/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,624.4
1981/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,625.4
1981/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,625.6
1981/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,611.1
1982/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,620.5
1982/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,617.1
1982/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,624.1
1982/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,619.8
1982/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,631.6
1982/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,640.4
1982/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,636.3
1982/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,639.0
1982/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,639.3
1982/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,642.5
1982/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,637.8
1982/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,639.8
1983/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,646.7
1983/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,651.7
1983/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,642.2
1983/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,654.6
1983/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,655.9
1983/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,645.9
1983/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,636.6
1983/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,646.7
1983/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,642.4
1983/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,642.8
1983/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,647.3
1983/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,646.8
1984/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,646.1
1984/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,627.5
1984/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,662.7
1984/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,654.9
1984/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,647.7
1984/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,643.0
1984/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,642.1
1984/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,651.9
1984/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,641.9
1984/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,635.3
1984/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,640.1
1984/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,681.8
1985/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,667.9
1985/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,663.2
1985/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,655.3
1985/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,626.2
1985/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,621.5
1985/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,632.5
1985/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,638.2
1985/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,634.0
1985/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,638.8
1985/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,641.5
1985/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,626.9
1985/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,632.0
1986/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,620.2
1986/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,620.7
1986/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,616.9
1986/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,614.2
1986/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,608.2
1986/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,634.1
1986/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,609.3
1986/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,606.7
1986/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,594.0
1986/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,598.4
1986/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,599.4
1986/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,591.4
1987/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,583.4
1987/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,587.5
1987/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,619.8
1987/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,595.4
1987/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,571.3
1987/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,595.7
1987/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,586.8
1987/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,512.2
1987/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,541.9
1987/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,553.8
