"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","42,639.26","42,278.23","42,725.09","42,209.95","","1.24%"
"03/29/2024","42,115.33","42,297.90","42,334.61","42,070.23","","-0.43%"
"03/28/2024","42,297.05","41,496.61","42,353.76","41,428.64","","2.01%"
"03/27/2024","41,464.05","41,295.53","41,547.71","41,189.05","","0.47%"
"03/26/2024","41,270.47","41,018.04","41,656.27","40,924.30","","0.65%"
"03/25/2024","41,003.48","41,137.77","41,262.13","40,986.12","","-0.25%"
"03/22/2024","41,106.23","41,066.09","41,356.75","41,005.39","","0.20%"
"03/21/2024","41,023.62","40,892.20","41,590.63","40,822.55","","0.39%"
"03/20/2024","40,865.75","40,817.29","40,938.86","40,484.77","","0.25%"
"03/19/2024","40,764.12","40,926.24","41,036.57","40,628.74","","-0.37%"
"03/18/2024","40,915.51","40,429.43","41,033.39","40,254.73","","1.31%"
"03/15/2024","40,386.25","40,511.16","40,731.55","40,325.98","","-0.26%"
"03/14/2024","40,489.63","40,387.13","40,605.43","40,227.06","","0.37%"
"03/13/2024","40,342.38","40,301.27","40,528.55","40,239.23","","0.15%"
"03/12/2024","40,281.50","40,777.52","40,836.55","40,152.32","","-1.18%"
"03/11/2024","40,764.12","40,861.93","41,121.18","40,610.58","","0.04%"
"03/08/2024","40,749.49","40,362.92","41,073.02","40,274.85","","1.01%"
"03/07/2024","40,342.16","40,441.04","40,729.10","40,249.32","","-0.23%"
"03/06/2024","40,433.22","40,383.16","40,521.31","40,101.26","","0.22%"
"03/05/2024","40,345.53","40,243.08","40,605.04","40,155.46","","0.32%"
"03/04/2024","40,215.70","39,844.50","40,337.19","39,579.26","","1.00%"
"03/01/2024","39,818.79","39,273.29","39,876.46","39,155.28","","1.44%"
"02/29/2024","39,252.83","39,199.07","39,418.75","38,988.52","","0.19%"
"02/28/2024","39,176.58","38,782.70","39,288.80","38,740.45","","1.04%"
"02/27/2024","38,774.40","39,192.14","39,304.43","38,701.96","","-1.05%"
"02/26/2024","39,187.75","39,340.51","39,428.27","39,132.93","","-0.29%"
"02/23/2024","39,301.16","38,778.67","39,351.10","38,607.20","","1.41%"
"02/22/2024","38,754.86","38,351.18","38,857.55","38,252.79","","1.10%"
"02/21/2024","38,333.05","38,312.14","38,423.21","38,070.32","","0.21%"
"02/20/2024","38,253.08","38,278.63","38,632.57","38,181.87","","0.03%"
"02/19/2024","38,240.23","37,922.14","38,379.23","37,922.14","","0.64%"
"02/16/2024","37,996.87","37,981.75","38,102.19","37,789.57","","0.13%"
"02/15/2024","37,948.12","37,934.53","38,129.88","37,853.18","","0.11%"
"02/14/2024","37,908.09","38,098.49","38,222.23","37,830.33","","-0.47%"
"02/13/2024","38,087.21","38,238.99","38,389.79","37,982.43","","-0.22%"
"02/12/2024","38,171.56","38,505.41","38,614.16","38,120.59","","-0.97%"
"02/09/2024","38,543.80","38,571.27","38,735.62","38,449.86","","-0.03%"
"02/08/2024","38,555.02","38,450.85","38,623.57","38,300.55","","0.32%"
"02/07/2024","38,430.14","38,355.14","38,640.06","38,259.70","","0.24%"
"02/06/2024","38,337.69","38,619.96","38,712.61","38,281.95","","-0.67%"
"02/05/2024","38,596.95","38,524.46","38,641.14","38,302.47","","0.18%"
"02/02/2024","38,528.74","38,217.77","38,571.25","38,103.40","","0.85%"
"02/01/2024","38,202.61","38,124.91","38,391.96","37,979.33","","0.30%"
"01/31/2024","38,089.98","38,316.46","38,371.53","38,007.65","","-0.53%"
"01/30/2024","38,294.03","38,234.96","38,632.63","38,161.15","","0.26%"
"01/29/2024","38,195.95","37,873.73","38,262.44","37,861.65","","0.78%"
"01/26/2024","37,899.38","38,124.90","38,324.07","37,792.34","","-0.49%"
"01/25/2024","38,084.64","38,033.93","38,198.87","37,941.64","","0.17%"
"01/24/2024","38,020.57","38,619.35","38,673.50","37,963.63","","-1.52%"
"01/23/2024","38,608.74","38,818.37","38,897.52","38,450.89","","-0.49%"
"01/22/2024","38,798.76","38,596.61","38,920.09","38,509.07","","0.58%"
"01/19/2024","38,575.10","38,317.32","38,763.45","38,216.90","","0.75%"
"01/18/2024","38,286.22","38,238.34","38,391.80","37,992.20","","0.19%"
"01/17/2024","38,214.83","38,479.01","38,694.50","38,159.17","","-0.63%"
"01/16/2024","38,458.86","38,420.36","38,702.76","38,285.88","","0.14%"
"01/15/2024","38,405.40","38,144.25","38,476.64","38,130.80","","0.75%"
"01/12/2024","38,117.65","37,840.32","38,353.50","37,789.23","","0.78%"
"01/11/2024","37,824.04","37,831.10","38,026.08","37,632.32","","0.06%"
"01/10/2024","37,801.02","37,964.76","38,048.25","37,770.36","","-0.39%"
"01/09/2024","37,949.41","37,741.62","38,106.65","37,671.60","","0.64%"
"01/08/2024","37,708.92","38,201.04","38,248.71","37,636.11","","-1.29%"
"01/05/2024","38,200.04","38,208.70","38,686.86","38,076.57","","0.04%"
"01/04/2024","38,184.85","38,212.64","38,341.11","38,079.16","","0.00%"
"01/03/2024","38,183.86","38,227.50","38,625.48","38,008.64","","-0.08%"
"01/02/2024","38,215.45","37,855.50","38,445.94","37,738.14","","1.34%"
"12/29/2023","37,708.68","38,304.60","38,544.09","37,643.02","","-1.47%"
"12/28/2023","38,272.10","38,217.77","38,660.34","38,160.61","","0.23%"
"12/27/2023","38,183.90","38,534.00","38,618.02","38,068.66","","-0.80%"
"12/26/2023","38,490.75","37,889.25","38,674.39","37,882.92","","1.82%"
