Date,Code,Description,Unit of Measure,Value
1987/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6506
1987/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,7102
1987/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,7000
1987/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6938
1987/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,7022
1987/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6466
1987/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6139
1988/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6432
1988/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6179
1988/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6096
1988/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5878
1988/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6192
1988/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5652
1988/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5568
1988/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5312
1988/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5092
1988/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4615
1988/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4898
1988/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4932
1989/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4975
1989/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5092
1989/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5117
1989/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5157
1989/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5203
1989/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5209
1989/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5130
1989/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5373
1989/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5375
1989/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5315
1989/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5529
1989/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5316
